Series,SMILES,DockScore,MolWt,logP,NumRings,NumRotBonds,NumHBD,NumHBA
B49,O(C(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)c1ccc(cc1)O)c1ccc2c(c1)sc(c2Cl)Cl,-12,573.0317,8.2989,6,5,3,7
B48,O(C(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)c1ccc(cc1)O)c1ccc2c(c1)[nH]cn2,-11.7,489.1437,5.6537,6,5,4,9
B47,O(C(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)c1ccc(cc1)O)c1ccc2c(c1)occ2O,-11.6,505.1274,6.2292,6,5,4,9
B15,N(c1nc2ccc(cc2[nH]1)C(=O)c1cccc(c1)c1ccc(O)cc1)n1ccc(=O)[nH]c1=O,-11.5,439.1281,2.8917,5,5,4,9
B31,OC1=CSC=C1C1=CC(OC(=O)NC2=NC3=C(N2)C=C(C=C3)C(=O)C2=CC=CC(=C2)C2=CC=C(O)C=C2)=CC=C1,-11.5,547.1202,7.2115,6,6,4,8
B46,O(C(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)c1ccc(cc1)O)c1ccc2c(c1)scc2O,-11.5,521.1045,6.6977,6,5,4,8
B4,OC1=CC=C(C=C1)C1=CC(=CC=C1)C(=O)C1=CC2=C(C=C1)N=C(NC(=O)OC1=CC=CC(=C1)C1=COC=C1)N2,-11.4,515.1481,7.0374,6,6,3,8
B23,OC1=COC=C1C1=CC(OC(=O)NC2=NC3=C(N2)C=C(C=C3)C(=O)C2=CC=CC(=C2)C2=CC=C(O)C=C2)=CC=C1,-11.4,531.143,6.743,6,6,4,9
B34,O(C(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)c1ccccc1)c1ccc2c(c1)scc2,-11.4,489.1147,7.2865,6,5,2,6
B5,OC1=CC=C(C=C1)C1=CC(=CC=C1C1=CC=CC=C1)C(=O)C1=CC2=C(C=C1)N=C(NC(=O)OC1=CC=CC(=C1)C1=COC=C1)N2,-11.3,591.1794,8.7044,7,7,3,8
B14,O=C(c1cccc(c1)-c1ccccc1)c1ccc2nc(Nn3ccc(=O)[nH]c3=O)[nH]c2c1,-11.3,423.1331,3.1861,5,5,3,8
B32,OC1=CC(=CS1)C1=CC(OC(=O)NC2=NC3=C(N2)C=C(C=C3)C(=O)C2=CC=CC(=C2)C2=CC=C(O)C=C2)=CC=C1,-11.3,547.1202,7.2115,6,6,4,8
B38,OC1=CSC=C1C1=CC(OC(=O)NC2=NC3=C(N2)C=C(C=C3)C(=O)C2=CC=CC(=C2)C2=CC=C(O)C(O)=C2)=CC=C1,-11.3,563.1151,6.9171,6,6,5,9
B41,Oc1ccc(cc1)-c1cccc(c1)C(=O)c1ccc2nc(NC(=O)Oc3ccc4ccoc4c3)[nH]c2c1,-11.3,489.1325,6.5236,6,5,3,8
B43,O=C(Nc1nc2ccc(cc2[nH]1)C(=O)c1cccc(c1)C1=COC=C1)Oc1ccc2ccoc2c1,-11.3,463.1168,6.411,6,5,2,8
B22,OC1=CC(=CO1)C1=CC(OC(=O)NC2=NC3=C(N2)C=C(C=C3)C(=O)C2=CC=CC(=C2)C2=CC=C(O)C=C2)=CC=C1,-11.2,531.143,6.743,6,6,4,9
M49,c1cc(ccc1O)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OC(=O)O,-11.2,341.0648,2.726,3,3,4,9
M51,c1cc(ccc1O)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OC(=O)OC(=O)O,-11.1,385.0546,2.8626,3,3,4,11
B13,OC1=CC=C(C=C1)C1=CC(=CC=C1)C(=O)C1=CC2=C(C=C1)N=C(NC(=O)OC1=C(O)C=CC=C1)N2,-11,465.1325,5.483,5,5,4,8
B17,O(C(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)c1ccc(cc1)O)n1ccc(=O)[nH]c1=O,-11,483.1179,2.6772,5,5,4,11
B42,Oc1ccc(cc1O)-c1cccc(c1)C(=O)c1ccc2nc(NC(=O)Oc3ccc4ccoc4c3)[nH]c2c1,-11,505.1274,6.2292,6,5,4,9
MC11305,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C3=NNC(=O)C4=CC=CC=C43,-11,335.1018,2.6447,4,2,3,8
B3,OC1=CC=C(OC(=O)NC2=NC3=C(N2)C=C(C=C3)C(=O)C2=CC=CC(=C2)C2=CC=C(C=C2)C2=COC=C2)C=C1,-10.9,515.1481,7.0374,6,6,3,8
B11,OC1=CC=C(C=C1)C1=CC(OC(=O)NC2=NC3=C(N2)C=C(C=C3)C(=O)C2=CC=CC(=C2)C2=CC=C(O)C=C2)=CO1,-10.9,531.143,6.743,6,6,4,9
B12,OC1=CC=C(OC(=O)NC2=NC3=C(N2)C=C(C=C3)C(=O)C2=CC=CC(=C2)C2=CC=C(O)C=C2)C=C1,-10.9,465.1325,5.483,5,5,4,8
B19,O(C(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)c1ccccc1)c1c[nH]c(=O)nc1N,-10.9,466.139,3.7373,5,5,5,10
M50,c1cc(ccc1O)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)C(=O)O,-10.9,325.0699,1.5226,3,3,4,8
B18,N(c1nc2ccc(cc2[nH]1)C(=O)/C=C\c1ccc(O)cc1)n1ccc(=O)[nH]c1=O,-10.8,389.1124,1.8898,4,5,4,9
B33,O(C(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)c1ccccc1)c1ccc(C(=O)O)cc1,-10.8,477.1325,5.77,5,6,3,8
B37,O(C(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)c1ccccc1)c1ccc(C(=O)O)cc1,-10.8,477.1325,5.77,5,6,3,8
B52,c1(ccc(cc1)c1cc(ccc1)C(=O)c1cc2c(cc1)nc(NC(=O)Oc1cccc(c1)c1cocc1)[nH]2)C(=O)O,-10.8,543.143,7.03,6,7,3,9
C17,O=C(NC1=NC2=C(N1)C=C(OC1=CC(=CC=C1)C1=COC=C1)C=C2)OC1=CC(=CO1)c1ccc2ccsc2c1,-10.8,533.1045,8.7008,7,6,2,8
M2,[C@@H]1(Nc2c(N1)cc(cc2)C(=O)c1cc(ccc1)c1ccc(cc1)O)NC(=O)OC,-10.8,389.1376,3.7672,4,4,4,7
M27,COC(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1ccc2c(c1)oc1c2cccc1,-10.8,385.1063,4.8716,5,3,2,7
M12,c1cc(ccc1)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OC(=O)O,-10.7,325.0699,3.0204,3,3,3,8
