"Series","SMILES","DockScore","MolWt","logP","NumHBD","NumHBA"
"B15","N(c1nc2ccc(cc2[nH]1)C(=O)c1cccc(c1)c1ccc(O)cc1)n1ccc(=O)[nH]c1=O",-11.5,439.1281,2.8917,4,9
"B14","O=C(c1cccc(c1)-c1ccccc1)c1ccc2nc(Nn3ccc(=O)[nH]c3=O)[nH]c2c1",-11.3,423.1331,3.1861,3,8
"M49","c1cc(ccc1O)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OC(=O)O",-11.2,341.0648,2.726,4,9
"MC11305","COC(=O)NC1=NC2=C(N1)C=C(C=C2)C3=NNC(=O)C4=CC=CC=C43",-11,335.1018,2.6447,3,8
"B19","O(C(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)c1ccccc1)c1c[nH]c(=O)nc1N",-10.9,466.139,3.7373,5,10
"M50","c1cc(ccc1O)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)C(=O)O",-10.9,325.0699,1.5226,4,8
"B18","N(c1nc2ccc(cc2[nH]1)C(=O)/C=C\c1ccc(O)cc1)n1ccc(=O)[nH]c1=O",-10.8,389.1124,1.8898,4,9
"M2","[C@@H]1(Nc2c(N1)cc(cc2)C(=O)c1cc(ccc1)c1ccc(cc1)O)NC(=O)OC",-10.8,389.1376,3.7672,4,7
"M27","COC(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1ccc2c(c1)oc1c2cccc1",-10.8,385.1063,4.8716,2,7
"M12","c1cc(ccc1)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OC(=O)O",-10.7,325.0699,3.0204,3,8
"M22","COC(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1ccc2c(c1)[nH]c(n2)O",-10.7,351.0968,2.5541,4,9
"M44","NC1=CC(=CC=C1)C1=CC(=CC=C1)C(=O)C1=CC=C2N=C(NC(=O)OCC(O)=O)NC2=C1",-10.7,430.1277,3.6762,5,9
"M45","CC1=CC(=CC=C1)C1=CC(=CC=C1)C(=O)C1=CC=C2N=C(NC(=O)OCC(O)=O)NC2=C1",-10.7,429.1325,4.4024,3,8
"B16","O(C(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)c1ccccc1)n1ccc(=O)[nH]c1=O",-10.6,467.123,2.9716,3,10
"M17","c1cc(ccc1)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OCC(=O)O",-10.6,339.0855,2.427,3,8
"M55","c1cc(ccc1C(=O)O)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)C(=O)O",-10.6,353.0648,1.5152,4,9
"A15","c1ccc(cc1)c1nc2c([nH]1)ccc(c2)c1ccc(cc1)C(=O)O",-10.5,314.1055,4.5951,2,4
"MC11303","COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3C(=O)NC4=CC=CC(=C4)C#C",-10.5,438.1328,4.2058,3,8
"S19","OC(=O)OC(=O)NC1=NC2=CC=C(SC3=CC=CC=C3)C=C2[NH]1",-10.5,329.047,3.9406,3,7
"S25","OC(=O)OC(=O)NC1=NC2=C(N1)C=C(PC1=CC=CC=C1)C=C2",-10.5,329.0565,2.4187,3,7
"S48","O=C(NC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2)OC1=CC=CO1",-10.5,351.0678,4.918,2,6
"A14","OC(=O)C1=CC=C(C=C1)C2=NC3=CC(=CC=C3[NH]2)C4=CC=CC=C4",-10.4,314.1055,4.5951,2,4
"M25","COC(=O)Nc1nc2ccc(cc2[nH]1)C(=O)c1ccc2c(c1)c[nH]c2",-10.4,334.1066,3.4535,3,7
"M28","O(C(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)C1=CC=[C-]C(=C1)c1c[nH]c(=O)nc1N)C",-10.4,403.116,2.1049,5,10
"M30","c1cc(ccc1)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OC(=O)OC(=O)O",-10.4,369.0597,3.157,3,10
"M32","c1cc(cc(c1)c1ccccc1)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OCC(=O)O",-10.4,415.1168,4.094,3,8
"M54","c1cc(ccc1C(=O)O)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OC(=O)O",-10.4,369.0597,2.7186,4,10
"S51","IOC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c1ccccc1",-10.4,406.9767,3.6924,2,6
"M1","[C@@H]1(Nc2c(N1)cc(cc2)C(=O)c1cc(ccc1)c1ccccc1)NC(=O)OC",-10.3,373.1426,4.0616,3,6
"M6","c1(nc2c([nH]1)cc(cc2)C(=O)c1ccccc1)NC(=O)Oc1occc1",-10.3,347.0906,3.9978,2,7
"M13","c1cc(ccc1)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)C(=O)O",-10.3,309.075,1.817,3,7
"M41","OC(=O)COC(=O)NC1=NC2=CC=C(C=C2N1)C(=O)C1=CC=CC(=C1)C1=CC=CC(P)=C1",-10.3,447.0984,3.5944,3,8
"M42","OC(=O)COC(=O)NC1=NC2=CC=C(C=C2N1)C(=O)C1=CC=CC(=C1)C1=CC=CC(F)=C1",-10.3,433.1074,4.2331,3,8
"S33","[H]C([H])(OC(=O)NC1=NC2=C(N1)C=C(PC1=CC=CC=C1)C=C2)C(O)=O",-10.3,343.0722,1.8253,3,7
"M26","COC(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1ccc2c(c1)coc2",-10.2,335.0906,3.7184,2,7
"M38","OC(=O)COC(=O)NC1=NC2=CC=C(C=C2N1)C(=O)C1=CC=CC(=C1)C1=CC=CC(Cl)=C1",-10.2,449.0778,4.7474,3,8
"M40","OC(=O)COC(=O)NC1=NC2=CC=C(C=C2N1)C(=O)C1=CC=CC(=C1)C1=CC=CC(Br)=C1",-10.2,493.0273,4.8565,3,8
"M43","OC(=O)COC(=O)NC1=NC2=CC=C(C=C2N1)C(=O)C1=CC=CC(=C1)C1=CC=CC(S)=C1",-10.2,447.0889,4.3827,3,8
"Flubendazole","COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=C(C=C3)F",-10.2,313.0863,3.1113,2,6
"S20","OC(=O)COC(=O)NC1=NC2=CC=C(OC3=CC=CC=C3)C=C2[NH]1",-10.2,327.0855,2.9883,3,8
"S22","OC(=O)COC(=O)NC1=NC2=CC=C(SC3=CC=CC=C3)C=C2[NH]1       ",-10.2,343.0627,3.3472,3,7
"S23","OC(=O)COC(=O)NC1=NC2=CC=C(OC3=CC=CC=C3)C=C2[NH]1",-10.2,327.0855,2.9883,3,8
"S40","c1cc(ccc1)Oc1cc2c(cc1)nc([nH]2)NC(=O)OCC(=O)O",-10.2,327.0855,2.9883,3,8
"C12","OC(=O)NC1=NC2=C(N1)C=C(SC1=CC(C3=COC=C3)=C(O)C=C1)C=C2",-10.1,367.0627,4.7696,4,7
"M31","c1cc(ccc1c1ccccc1)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)C(=O)O",-10.1,385.1063,3.484,3,7
"M53","c1cc(cc(c1)c1ccc(cc1)O)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OCC(=O)O",-10.1,431.1117,3.7996,4,9
"N/A","c1(nc2c([nH]1)cc(cc2)C(=O)c1ccccc1)NC(=O)OC",-10.1,295.0957,2.9722,2,6
"S3","ClOC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1",-10.1,315.0411,3.4962,2,6
"S4","BrOC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1",-10.1,358.9906,3.6523,2,6
"S6","CCOC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1",-10.1,309.1113,3.3623,2,6
"A20","c1ccc(cc1)c1nc2c([nH]1)ccc(c2)c1ccc(cc1)CC(=O)O",-10,328.1212,4.524,2,4
"B59","N(c1nc2ccc(cc2[nH]1)C(=O)c1cccc(c1)c1ccc(cc1)C(=O)O)n1ccc(=O)[nH]c1=O",-10,467.123,2.8843,4,10
"D9","c12c3c4c5c(c1[nH]c1c6c(nc(cc3/C(=C\O)/CNC4)c21)ccnc6)[nH]cn5",-10,366.1229,3.7337,4,7
"M9","COC(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)C(=O)Cc1cccnc1",-10,414.1328,3.7926,2,8
"S7","CCCOC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1",-10,323.127,3.7524,2,6
"S26","OC(=O)OC(=O)OC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2",-10,330.031,3.9075,2,7
"S29","OC(=O)OC(=O)OC1=NC2=C(N1)C=C(OC1=CC=CC=C1)C=C2",-10,314.0539,3.5486,2,8
"S49","O=C(OC1=CC=CO1)OC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2",-10,352.0518,4.8849,1,6
"B65","N(c1nc2ccc(cc2[nH]1)C(=O)c1cccc(c1)c1ccc(cc1)CC(=O)O)n1ccc(=O)[nH]c1=O",-9.9,481.1386,2.8132,4,10
"M5","[C@H]1(Nc2c(N1)cc(cc2)C(=O)c1cc(ccc1)c1occc1)NC(=O)OC",-9.9,363.1219,3.6546,3,7
"M11","CSC(=O)N[C@H]1Nc2ccc(cc2N1)C(=O)c1cccc(c1)-c1ccc(O)cc1",-9.9,405.1147,4.4838,4,6
"S32","OC(=O)OC(=O)NC1=NC2=C(N1)C=C(C=C2)P(=O)C1=CC=CS1",-9.9,351.0079,2.3614,3,8
"S37","c1cc(ccc1C(=O)O)Sc1cc2c(cc1)nc([nH]2)NC(=O)O",-9.9,329.047,3.5022,4,7
"S42","[H]C([H])(OC(=O)NC1=NC2=C(N1)C=C(C=C2)S(=O)C1=CC=CS1)C(O)=O",-9.9,365.014,2.4242,3,8
"S47","[H]C([H])(C(O)=O)C1=CSC(=C1)C(=O)C1=CC2=C(C=C1)N=C(NC(=O)OC1=CC=CO1)N2",-9.9,411.0525,3.6864,3,9
"M3","c1(nc2c([nH]1)cc(cc2)C(=O)c1ccccc1)NC(=O)Oc1ccccc1",-9.8,357.1113,4.4048,2,6
"M58","c1cc(cc(c1)c1ccc(cc1)C(=O)O)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OCC(=O)O",-9.8,459.1066,3.7922,4,10
"S10","COC(=O)NC1=NC2=C(N1)C=C(PC1=CC=CC=C1)C=C2",-9.8,299.0824,2.3705,2,5
"S13","ClOC(=O)NC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2",-9.8,319.0182,4.4164,2,5
"S16","BrOC(=O)NC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2",-9.8,362.9677,4.5725,2,5
"S21","OC(=O)OC(=O)NC1=NC2=CC=C(C=C2[NH]1)C(=O)C3=CC=CS3",-9.8,331.0263,3.0819,3,8
"S24","OC(=O)OC(=O)NC1=NC2=CC=C(C=C2[NH]1)C(=O)C3=CC=CS3",-9.8,331.0263,3.0819,3,8
